DRPM,GP,MPG,ORPM,RPM,Season_End_Year,season_id,WINS,names,name_length_post_split,First_Name,Last_Name,Game_id,Person_id,Team_id,Season_Total_Minutes,Season_Total_Minutes*RPM
1.95,62,35.0,6.03,7.98,2014,2013,14.47,Chris Paul,2,Chris,Paul,21300003.0,101108.0,1610612746.0,2170.0,17316.600000000002
0.15,81,38.5,6.27,6.42,2014,2013,17.63,Kevin Durant,2,Kevin,Durant,21300014.0,201142.0,1610612760.0,3118.5,20020.77
-0.38,78,36.5,6.62,6.24,2014,2013,15.48,Stephen Curry,2,Stephen,Curry,21300017.0,201939.0,1610612744.0,2847.0,17765.28
0.35,68,22.8,5.07,5.42,2014,2013,7.68,Manu Ginobili,2,Manu,Ginobili,21300013.0,1938.0,1610612759.0,1550.4,8403.168
3.23,69,36.2,1.89,5.12,2014,2013,11.64,LaMarcus Aldridge,2,LaMarcus,Aldridge,21300015.0,200746.0,1610612757.0,2497.8,12788.736
1.54,77,36.3,3.52,5.06,2014,2013,13.52,Kevin Love,2,Kevin,Love,21300010.0,201567.0,1610612750.0,2795.1,14143.205999999998
0.42,73,33.5,4.28,4.7,2014,2013,10.24,Mike Conley,2,Mike,Conley,21300013.0,201144.0,1610612763.0,2445.5,11493.85
3.14,77,28.8,1.47,4.61,2014,2013,9.22,Amir Johnson,2,Amir,Johnson,21300006.0,101161.0,1610612761.0,2217.6,10223.136
2.46,81,24.4,2.02,4.48,2014,2013,8.35,Vince Carter,2,Vince,Carter,21300012.0,1713.0,1610612742.0,1976.3999999999999,8854.272
1.29,56,31.3,2.98,4.27,2014,2013,7.27,Patrick Beverley,2,Patrick,Beverley,21300009.0,201976.0,1610612745.0,1752.8,7484.455999999999
4.91,71,33.7,-0.67,4.24,2014,2013,9.86,Dwight Howard,2,Dwight,Howard,21300009.0,2730.0,1610612745.0,2392.7000000000003,10145.048000000003
4.0,81,32.8,0.12,4.12,2014,2013,10.37,Marcin Gortat,2,Marcin,Gortat,21300007.0,101162.0,1610612764.0,2656.7999999999997,10946.016
3.59,65,27.7,0.47,4.06,2014,2013,6.88,Anderson Varejao,2,Anderson,Varejao,21300004.0,2760.0,1610612739.0,1800.5,7310.03
