DRPM,GP,MPG,ORPM,RPM,Season_End_Year,Season_Start_Year,WINS,names
1.95,62,35.0,6.03,7.98,2014,2013,14.47,Chris Paul
0.15,81,38.5,6.27,6.42,2014,2013,17.63,Kevin Durant
-0.38,78,36.5,6.62,6.24,2014,2013,15.48,Stephen Curry
0.35,68,22.8,5.07,5.42,2014,2013,7.68,Manu Ginobili
3.23,69,36.2,1.89,5.12,2014,2013,11.64,LaMarcus Aldridge
1.54,77,36.3,3.52,5.06,2014,2013,13.52,Kevin Love
0.42,73,33.5,4.28,4.70,2014,2013,10.24,Mike Conley
3.14,77,28.8,1.47,4.61,2014,2013,9.22,Amir Johnson
2.46,81,24.4,2.02,4.48,2014,2013,8.35,Vince Carter
1.29,56,31.3,2.98,4.27,2014,2013,7.27,Patrick Beverley
4.91,71,33.7,-0.67,4.24,2014,2013,9.86,Dwight Howard
4.00,81,32.8,0.12,4.12,2014,2013,10.37,Marcin Gortat
3.59,65,27.7,0.47,4.06,2014,2013,6.88,Anderson Varejao
0.58,81,18.9,3.42,4.00,2014,2013,6.07,Patty Mills
6.60,54,20.5,-2.78,3.82,2014,2013,4.02,Kevin Garnett
2.37,80,30.9,1.23,3.60,2014,2013,8.87,David West
3.37,82,35.0,0.19,3.56,2014,2013,10.85,DeAndre Jordan
2.72,68,24.3,0.79,3.51,2014,2013,6.13,Danny Green
3.99,82,21.9,-0.49,3.50,2014,2013,6.54,Draymond Green
-1.08,62,35.8,4.38,3.30,2014,2013,8.32,Ty Lawson
0.43,77,37.7,8.65,9.08,2014,2013,19.87,LeBron James
4.74,63,32.4,1.89,6.63,2014,2013,11.47,Andre Iguodala
1.79,80,32.9,4.56,6.35,2014,2013,14.05,Dirk Nowitzki
3.64,81,16.7,2.08,5.72,2014,2013,6.90,Nick Collison
5.38,74,29.2,-0.05,5.33,2014,2013,10.39,Tim Duncan
1.17,82,28.2,3.92,5.09,2014,2013,10.83,Channing Frye
0.23,46,30.7,4.82,5.05,2014,2013,6.89,Russell Westbrook
2.00,80,35.8,2.65,4.65,2014,2013,12.79,Blake Griffin
3.92,80,35.3,0.65,4.57,2014,2013,11.30,Joakim Noah
3.23,81,32.9,1.23,4.46,2014,2013,11.63,Serge Ibaka
0.41,79,36.2,3.84,4.25,2014,2013,11.56,Kyle Lowry
3.64,82,28.7,0.56,4.20,2014,2013,8.84,Taj Gibson
3.97,43,32.9,0.11,4.08,2014,2013,5.79,Eric Bledsoe
3.81,72,19.4,0.19,4.00,2014,2013,5.17,Chris Andersen
2.47,82,32.2,1.43,3.90,2014,2013,10.76,Ricky Rubio
3.75,55,30.2,-0.08,3.67,2014,2013,5.80,Tyson Chandler
5.23,59,33.4,-1.64,3.59,2014,2013,6.87,Marc Gasol
4.53,59,21.5,-1.01,3.52,2014,2013,4.70,Tiago Splitter
2.19,54,30.8,1.31,3.50,2014,2013,6.37,Nikola Pekovic
-1.14,76,35.1,4.57,3.43,2014,2013,9.73,Goran Dragic
1.92,73,32.1,1.29,3.21,2014,2013,8.10,DeMarre Carroll
3.04,79,32.0,0.14,3.18,2014,2013,8.41,Chris Bosh
1.91,82,31.5,1.16,3.07,2014,2013,8.22,Mike Dunleavy
1.82,63,35.1,1.15,2.97,2014,2013,7.00,Luol Deng
-1.95,82,35.8,4.74,2.79,2014,2013,9.40,Damian Lillard
-0.80,79,32.6,3.55,2.75,2014,2013,7.80,Joe Johnson
2.58,80,36.2,0.16,2.74,2014,2013,8.88,Paul George
0.81,66,19.4,1.73,2.54,2014,2013,3.61,Pablo Prigioni
0.56,76,32.0,1.93,2.49,2014,2013,7.03,George Hill
2.00,34,33.6,0.41,2.41,2014,2013,3.33,Jrue Holiday
2.74,55,23.2,-0.41,2.33,2014,2013,3.61,Tony Allen
-1.65,6,29.5,3.87,2.22,2014,2013,0.52,Kobe Bryant
1.78,17,31.4,0.43,2.21,2014,2013,1.46,Brook Lopez
4.12,53,29.4,-1.99,2.13,2014,2013,4.31,Nene Hilario
2.06,74,33.5,0.04,2.10,2014,2013,6.84,Paul Millsap
1.03,79,34.2,1.06,2.09,2014,2013,7.09,Zach Randolph
5.16,67,26.4,-3.10,2.06,2014,2013,5.03,Andrew Bogut
1.22,60,30.9,0.76,1.98,2014,2013,5.05,Avery Bradley
1.34,79,25.0,0.61,1.95,2014,2013,5.38,Boris Diaw
1.30,41,20.7,0.61,1.91,2014,2013,2.27,Danny Granger
0.73,71,33.9,2.53,3.26,2014,2013,8.35,Kyle Korver
-1.67,64,32.2,4.87,3.20,2014,2013,6.89,Deron Williams
-2.84,73,38.0,5.97,3.13,2014,2013,9.67,James Harden
2.13,66,29.1,0.89,3.02,2014,2013,6.56,Kawhi Leonard
4.87,48,20.2,-2.04,2.83,2014,2013,3.26,Omer Asik
0.61,61,11.3,2.16,2.77,2014,2013,2.16,Matt Bonner
-1.02,77,38.7,3.77,2.75,2014,2013,8.93,Carmelo Anthony
-0.40,68,29.4,3.11,2.71,2014,2013,6.40,Tony Parker
3.13,75,28.0,-0.63,2.50,2014,2013,6.10,Paul Pierce
2.76,82,31.8,-0.33,2.43,2014,2013,7.69,Robin Lopez
0.39,63,27.5,1.95,2.34,2014,2013,5.24,Matt Barnes
-1.62,72,34.7,3.85,2.23,2014,2013,7.20,Isaiah Thomas
-0.44,82,36.3,2.66,2.22,2014,2013,8.30,John Wall
1.02,73,35.0,1.12,2.14,2014,2013,6.84,Al Jefferson
1.23,67,38.7,0.90,2.13,2014,2013,6.77,Jimmy Butler
0.24,58,16.9,1.85,2.09,2014,2013,2.59,Andre Miller
2.21,64,20.3,-0.12,2.09,2014,2013,3.54,Anthony Tolliver
-0.17,81,35.4,2.20,2.03,2014,2013,7.91,Klay Thompson
0.59,74,37.6,1.37,1.96,2014,2013,7.59,Chandler Parsons
0.73,54,32.9,1.19,1.92,2014,2013,4.66,Dwyane Wade
6.29,23,25.4,-4.46,1.83,2014,2013,1.50,Larry Sanders
3.22,81,29.7,-1.44,1.78,2014,2013,5.93,Roy Hibbert
-0.91,10,31.1,2.67,1.76,2014,2013,0.71,Derrick Rose
1.46,82,24.5,0.29,1.75,2014,2013,5.14,Jason Thompson
0.85,79,34.4,0.85,1.70,2014,2013,7.19,Thaddeus Young
-0.34,40,20.5,2.03,1.69,2014,2013,2.01,Devin Harris
0.85,73,34.7,0.68,1.53,2014,2013,6.07,Rudy Gay
2.19,29,33.0,-0.69,1.50,2014,2013,2.29,Al Horford
0.78,67,35.2,0.65,1.43,2014,2013,5.46,Anthony Davis
-1.52,82,36.9,2.92,1.40,2014,2013,7.04,Monta Ellis
