Game_id,Person_id,screen_assists,charges_drawn,loose_balls_recovered,deflections,contested_shots,contested_2_shots,contested_3_shots,box_outs,offensive_loose_ball_recoveries,defensive_loose_ball_recoveries,defensive_box_outs,offensive_box_outs,pts_off_screen_assists
0021600001,2210,0,0,2,2,8,8,0,0,0,2,0,0,0
0021600001,2365,1,0,0,0,2,1,1,0,0,0,0,0,2
0021600001,2399,0,0,2,2,7,2,5,0,0,2,0,0,0
0021600001,2544,0,0,1,2,6,6,0,0,0,1,0,0,0
0021600001,2546,1,0,1,1,5,3,2,0,0,1,0,0,3
0021600001,2592,1,0,0,1,1,0,1,0,0,0,0,0,2
0021600001,2747,0,0,1,1,2,1,1,0,1,0,0,0,0
0021600001,101112,1,0,3,1,5,3,2,0,1,2,0,0,2
0021600001,201149,3,2,4,0,3,2,1,0,1,3,0,0,6
0021600001,201565,0,0,2,0,6,5,1,0,2,0,0,0,0
0021600001,201567,1,0,2,4,13,12,1,0,0,2,0,0,2
0021600001,201584,0,0,2,1,7,4,3,0,1,1,0,0,0
0021600001,201943,0,0,0,2,2,2,0,0,0,0,0,0,0
0021600001,202498,0,0,0,2,4,2,2,0,0,0,0,0,0
0021600001,202681,1,0,1,3,4,2,2,0,0,1,0,0,2
0021600001,202684,1,0,0,0,8,5,3,0,0,0,0,0,2
0021600001,202697,0,0,0,0,3,2,1,0,0,0,0,0,0
0021600001,202732,0,0,0,0,3,3,0,0,0,0,0,0,0
0021600001,203124,2,0,0,1,7,5,2,0,0,0,0,0,4
0021600001,203200,0,0,1,1,7,4,3,0,1,0,0,0,0
0021600001,203895,0,0,0,0,3,1,2,0,0,0,0,0,0
0021600001,204001,1,0,0,1,14,5,9,0,0,0,0,0,2
0021600001,1626195,0,0,0,0,6,4,2,0,0,0,0,0,0
0021600001,1627758,0,0,0,0,3,2,1,0,0,0,0,0,0
0021600001,1627851,0,0,0,0,1,1,0,0,0,0,0,0,0
0021600002,2207,0,0,2,1,2,1,1,0,0,2,0,0,0
0021600002,2564,0,0,0,1,3,2,1,0,0,0,0,0,0
0021600002,201588,0,0,1,5,12,9,3,0,1,0,0,0,0
0021600002,202323,0,0,0,2,8,7,1,0,0,0,0,0,0
0021600002,202329,1,0,0,2,6,2,4,0,0,0,0,0,3
0021600002,202334,7,0,0,0,9,8,1,0,0,0,0,0,16
0021600002,202714,0,0,0,1,2,1,1,0,0,0,0,0,0
0021600002,203081,0,0,0,0,3,3,0,0,0,0,0,0,0
0021600002,203086,4,0,0,0,5,4,1,0,0,0,0,0,9
0021600002,203090,0,0,1,2,6,4,2,0,0,1,0,0,0
0021600002,203459,0,0,1,1,3,1,2,0,0,1,0,0,0
0021600002,203468,0,0,2,2,9,5,4,0,0,2,0,0,0
0021600002,203481,0,0,0,0,2,2,0,0,0,0,0,0,0
0021600002,203486,5,0,0,0,2,2,0,0,0,0,0,0,13
0021600002,203497,10,0,0,2,18,18,0,0,0,0,0,0,20
0021600002,203918,0,0,1,3,6,4,2,0,0,1,0,0,0
0021600002,203943,1,0,0,0,11,8,3,0,0,0,0,0,2
0021600002,203957,0,0,2,1,5,3,2,0,0,2,0,0,0
